1,0|98,36,2,32,89,30|493.61996
2,0|32,89,30|280.38
2,1|36,98|213.23999
3,0|99,79,31,30|399.8
3,1|40,48,92|323.55002
3,2|40,72,96|258.35
4,0|82|101.11
4,1|89,32,2,36,98|394.36
4,2|89,32|181.12
4,3|31,79,99|303.50998
5,0|53,59,63,27|306.69998
5,1|11,54,40,48,92|474.21002
5,2|13,55,79,96|348.63998
5,3|11|185.2
5,4|53,59,43|267.03
6,0|91,72,79,31,30|461.18
6,2|20|185.48999
6,3|48,40|237.76999
6,4|57,88,32,89|363.11
6,5|48,40,54,11|388.43
7,0|59,63,27|262.87
7,1|9,54,40,48,92|482.84003
7,2|53,13,55,79,96|336.81
7,3|9,54|204.62
7,4|59,43|223.20001
7,6|53,13,55,79,72,91|396.19
8,0|70,15|214.69
8,1|38,19,56,35,36,98|501.97
8,2|38,19,56|300.26
8,3|38,19,83,81,96,72,40|558.55005
8,4|70,15|272.0
8,5|70,15,80,63,59,53|497.55
8,6|38,19,56,35,57|473.97998
8,7|70,15,80,63,59|453.72
9,0|13,59,63,27|282.72998
9,1|54,40,48,92|407.18
9,2|55,79,96|279.36
9,3|54|128.95999
9,4|13,59,43|243.06
9,6|54,40,48|321.4
9,8|13,59,63,80,15,70|473.57996
10,0|30|137.0
10,1|32,2,36,98|359.21
10,2|32|145.97
10,3|31,79,99|262.82
10,5|63,59,53|249.78
10,6|31,79,72,91|324.2
10,7|63,59|205.95001
10,8|4,15,70|315.44
10,9|63,59,13|225.81
11,0|13,59,63,27|327.66998
11,1|54,40,48,92|383.78
11,2|54,60,72,96|315.93
11,4|13,59,43|288.0
11,6|54,40,48|298.0
11,7|51|111.51
11,8|13,59,63,80,15,70|518.51996
11,10|13,59,63|270.75
12,0|70,15|160.26999
12,1|26,44,56,35,36,98|464.89
12,2|26,44,56|263.18
12,3|70,15,4,31,79,99|521.08997
12,4|70,15|217.57999
12,5|70,15,80,63,59,53|443.12997
12,6|26,44,56,35,57|436.9
12,7|70,15,80,63,59|399.3
12,9|70,15,80,63,59,13|419.15997
12,10|70,15,4|261.02
12,11|70,15,80,63,59,13|464.09998
13,0|59,63,27|261.16
13,1|55,79,72,91,92|426.69
13,2|55,79,96|277.68
13,3|9,54|150.53
13,4|59,43|221.49
13,6|55,79,72,91|337.06
13,7|53|59.129997
13,8|59,63,80,15,70|452.01
13,10|59,63|204.24
13,12|59,63,80,15,70|397.59003
14,0|1,98,36,2,32,89,30|532.57
14,2|1,98,36|252.19
14,3|6,48,40|322.87997
14,4|1,98,36,2,32,89|433.31
14,5|6,48,40,54,11|473.53998
14,7|6,91,72,79,55,13,53|481.30002
14,8|1,98,36,35,56,19,38|540.92
14,9|6,48,40,54|406.51
14,10|1,98,36,2,32|398.16
14,11|6,48,40,54|383.11
14,12|1,98,36,35,56,44,26|503.83997
14,13|6,91,72,79,55|422.17
15,1|4,89,32,2,36,98|479.81998
15,2|4,89,32|266.58
15,3|4,31,79,99|388.97
15,5|80,63,59,53|311.01
15,6|4,89,32,88,57|448.56998
15,7|80,63,59|267.18
15,8|70|186.54001
15,9|80,63,59,13|287.04
15,10|4|128.9
15,11|80,63,59,13|331.98
15,12|70|132.12
15,13|80,63,59|265.47
15,14|4,89,32,2,36,98,1|518.76996
16,1|80,89,32,2,36,98|516.85
16,2|80,89,32|303.61
16,3|25,7,9,54|388.97998
16,4|27|142.04
16,5|25,95|230.48999
16,6|80,28,31,79,72,91|480.47998
16,7|25|184.35999
16,8|82,15,70|297.69998
16,9|25,7|260.02
16,10|80|157.64
16,11|25,7,51|295.87
16,12|82,15,70|243.27998
16,13|25,7,53|243.48999
16,14|80,89,32,2,36,98,1|555.8
16,15|82|111.159996
17,0|68,59,63,27|328.68
17,1|11,54,40,48,92|423.63
17,2|9,55,79,96|334.43
17,3|11|134.62
17,4|68,59,43|289.01
17,6|11,54,40,48|337.85
17,8|68,59,63,80,15,70|519.52997
17,10|68,59,63|271.76
17,12|68,59,63,80,15,70|465.11
17,14|11,54,40,48,6|422.96002
17,15|68,59,63,80|332.99
17,16|7,25|274.77
18,0|19,26,70,15|326.6
18,1|56,35,36,98|355.97
18,2|56|154.26
18,3|56,2,96,72,40|412.61
18,4|69,78,89|262.28
18,5|69,78,89,10,63,59,53|477.31
18,6|56,35,57|327.97998
18,7|69,78,89,10,63,59|433.48
18,8|19,38|215.78
18,9|56,2,96,79,55|433.62
18,10|69,78,89|227.53
18,11|56,2,96,72,60,54|470.19
18,12|19|179.20001
18,13|69,78,89,10,63,59|431.77002
18,14|56,35,36,98,1|394.92
18,15|19,26,70|298.45
18,16|69,78,89,80|384.77
18,17|56,2,96,79,55,9|488.69
19,0|26,70,15|244.7
19,1|56,35,36,98|368.09
19,2|56|166.38
19,3|83,81,96,72,40|424.67
19,4|78,89|251.58002
19,5|78,89,10,63,59,53|466.61002
19,6|56,35,57|340.09998
19,7|78,89,10,63,59|422.78003
19,8|38|133.88
19,9|78,89,10,63,59,13|442.64
19,10|78,89|216.83002
19,11|83,81,96,72,60,54|482.25
19,13|78,89,10,63,59|421.07
19,14|56,35,36,98,1|407.04
19,15|26,70|216.55
