
inst  |  Fitness  |   nombre Evals   |   time  (sec)  |  Moyenn   


50_1 | 1204.41   | 994 | 0.2807628  | 1204.41 

50_2 | 1340.44    | 946| 0.209979   | 1340.44

50_3 | 1316.3898   | 902 | 0.1719828 | 1316.3898

 
100_1 | 1217.47   | 20238 | 7.3182681731  | 1217.47

100_2 | 1128.4    | 8631  | 2.65173482 | 1128.4

100_3 | 1252.99   | 88122 | 24.1905809 | 1255.89



200_1 | 1206.79   | 77846 | 52.442757 | 1217.46

200_2 | 1216.2301   | 49921 | 38.664135 | 1230.3901

200_3 | 1247.62 | 62483 | 41.57384  | 1270.13



300_1 | 1215.4801 | 171236 | 296.36435  | 1232.8999

300_2 | 1172.87 | 127417 | 123.826614  | 1185.6905

300_3 | 1261.64  | 508725   | 464.9945  | 1289.3695




400_1 | 1220.9698   | 65436  | 82.707726  | 1229.235

400_2 | 1209.9  | 557776  | 1174.4196  | 1216.478

400_3 | 1261.35 | 1399470 | 2104.3577   | 1276.25



500_1 | 1205.5898 | 630376 | 1488.6282  | 1224.731

500_2 | 1248.82 | 978224 | 2167.1724  | 1253.103

500_3 | 1251.0298 | 628099 | 1010.092  | 1274.1149



