200	3244
0 2 104.71
0 14 118.53
0 16 123.85
0 17 120.36
0 27 33.84
0 39 102.10
0 42 32.45
0 45 113.29
0 53 101.26
0 54 123.97
0 55 51.11
0 63 78.00
0 64 46.98
0 82 124.13
0 102 100.76
0 105 120.03
0 107 79.72
0 115 59.29
0 119 80.27
0 120 93.47
0 122 123.74
0 128 63.88
0 129 108.15
0 131 115.91
0 137 101.60
0 138 62.01
0 141 32.05
0 148 96.02
0 149 80.32
0 154 50.50
0 165 118.92
0 178 117.68
0 181 5.10
0 184 77.63
0 199 77.83
1 7 103.03
1 8 84.14
1 23 61.54
1 31 65.10
1 37 83.47
1 46 69.73
1 49 74.83
1 51 103.37
1 62 121.76
1 73 33.70
1 74 105.58
1 75 74.37
1 80 107.08
1 89 65.86
1 95 110.44
1 96 86.61
1 98 68.19
1 99 47.96
1 100 101.92
1 101 110.31
1 125 97.19
1 127 122.12
1 130 89.36
1 143 106.46
1 144 50.53
1 147 99.34
1 151 73.68
1 160 46.18
1 165 108.22
1 166 28.63
1 176 64.86
1 178 99.82
1 183 84.31
1 187 12.10
1 189 56.53
1 191 111.33
2 14 44.82
2 27 76.45
2 40 113.01
2 42 78.14
2 55 83.48
2 64 117.85
2 82 44.23
2 83 37.61
2 84 83.61
2 85 65.90
2 92 122.39
2 104 61.37
2 107 121.22
2 113 105.01
2 119 43.22
2 122 100.08
2 128 111.66
2 129 85.63
2 134 124.17
2 138 81.76
2 140 103.57
2 141 79.18
2 148 25.08
2 158 96.62
2 181 106.56
2 184 79.35
2 185 31.51
2 193 56.80
2 196 60.94
3 4 111.00
3 5 99.49
3 11 100.61
3 15 95.60
3 19 21.45
3 20 95.70
3 21 69.65
3 26 88.70
3 30 112.22
3 32 119.34
3 33 20.40
3 34 101.88
3 36 96.50
3 38 29.53
3 41 76.62
3 43 82.08
3 44 41.48
3 47 93.63
3 48 39.20
3 52 109.45
3 59 107.97
3 61 80.19
3 67 93.27
3 68 105.65
3 69 86.38
3 79 68.13
3 80 119.17
3 90 108.55
3 93 97.95
3 94 113.07
3 103 91.10
3 110 80.92
3 112 114.48
3 114 111.19
3 116 39.70
3 118 85.04
3 124 53.43
3 133 66.10
3 145 114.79
3 146 24.48
3 150 70.89
3 155 75.80
3 157 88.11
3 164 81.97
3 168 62.15
3 174 94.98
3 195 58.08
3 198 61.52
4 5 106.61
4 6 47.96
4 9 72.98
4 12 97.53
4 19 108.95
4 22 100.74
4 26 69.39
4 32 8.98
4 33 114.16
4 38 92.36
4 44 75.67
4 67 108.95
4 69 111.20
4 71 113.76
4 88 99.30
4 90 40.71
4 109 109.23
4 110 55.60
4 112 4.08
4 114 98.80
4 118 40.33
4 124 98.38
4 142 73.78
4 145 102.34
4 146 122.33
4 152 110.76
4 157 81.24
4 163 119.20
4 168 78.45
4 171 96.90
4 182 115.12
4 192 52.11
4 194 123.49
4 195 52.98
5 6 80.62
5 8 90.70
5 15 106.60
5 17 95.66
5 19 116.65
5 20 74.70
5 32 114.36
5 33 83.17
5 34 26.19
5 38 110.97
5 44 69.77
5 48 100.91
5 58 113.34
5 61 66.43
5 75 104.18
5 79 95.73
5 80 79.44
5 90 70.37
5 91 101.93
5 93 69.57
5 102 115.40
5 112 106.94
5 114 18.43
5 118 67.92
5 120 123.08
5 124 46.12
5 125 98.40
5 127 65.91
5 136 52.79
5 146 86.41
5 152 28.37
5 155 110.21
5 159 92.78
5 168 44.13
5 176 112.41
5 180 109.04
5 195 88.92
5 198 76.63
6 9 120.88
6 12 118.26
6 22 90.20
6 26 114.19
6 32 50.72
6 33 123.51
6 34 106.80
6 38 119.47
6 44 86.90
6 58 107.47
6 88 117.77
6 90 19.70
6 91 111.65
6 110 98.51
6 112 45.33
6 114 66.42
6 118 43.64
