100 526
0 15 28.15
0 16 85.69
0 27 54.05
0 30 68.62
0 80 75.66
0 82 17.69
0 94 35.59
1 6 94.90
1 14 38.95
1 65 32.44
1 92 95.12
1 98 78.66
2 20 90.38
2 32 50.31
2 35 23.23
2 36 64.27
2 39 81.78
2 49 64.64
2 56 80.95
2 78 75.28
2 81 51.15
2 83 72.46
2 88 40.54
2 96 48.53
3 11 94.77
3 40 58.90
3 54 40.51
3 60 62.70
3 66 60.27
3 77 44.31
3 99 90.60
4 10 43.44
4 15 85.46
4 27 93.31
4 28 42.49
4 30 38.08
4 31 67.84
4 33 71.67
4 43 42.97
4 80 62.10
4 82 83.42
4 89 53.54
4 94 70.10
5 7 47.82
5 9 74.80
5 11 90.43
5 13 70.96
5 17 56.71
5 51 37.22
5 53 48.72
5 64 81.10
5 68 53.39
5 95 53.60
6 14 85.11
6 20 95.11
6 48 84.23
6 57 74.18
6 65 97.88
6 86 87.12
6 91 32.83
6 92 24.50
7 9 75.66
7 13 59.14
7 17 90.41
7 25 96.34
7 37 94.29
7 51 15.60
7 53 16.67
7 59 86.79
7 68 39.09
7 76 86.57
7 95 11.56
8 12 61.88
8 22 3.40
8 38 68.62
8 45 42.05
8 46 37.95
8 58 56.54
8 61 36.22
8 67 88.92
8 70 93.43
8 87 54.17
9 11 45.38
9 13 21.57
9 17 55.07
9 51 62.75
9 53 59.50
9 54 88.45
9 55 86.59
9 64 85.38
9 68 36.82
9 95 87.19
10 28 43.10
10 30 68.38
10 31 27.15
10 32 95.66
10 33 57.61
10 43 33.77
10 63 94.41
10 80 76.55
10 89 18.79
11 13 66.51
11 17 39.85
11 51 95.91
11 53 97.05
11 54 65.05
11 64 54.10
11 66 85.49
11 68 76.37
11 77 70.19
11 97 65.87
12 19 97.30
12 22 59.97
12 26 68.81
12 38 33.84
12 45 22.57
12 46 24.08
12 47 52.84
12 58 89.50
12 61 53.32
12 67 28.87
12 70 39.01
12 87 19.79
13 17 68.56
13 51 48.79
13 53 42.46
13 55 84.91
13 59 85.08
13 68 20.97
13 95 70.30
14 65 14.98
14 92 95.31
15 27 71.10
15 28 98.13
15 30 61.65
15 70 93.11
15 80 79.71
15 82 18.78
15 94 39.05
16 23 52.78
16 24 63.08
16 25 88.02
16 27 48.73
16 37 90.38
16 42 54.72
16 71 53.41
16 73 71.38
16 80 81.09
16 82 92.38
16 94 82.75
17 51 74.95
17 53 80.72
17 64 33.27
17 68 66.69
17 77 99.95
17 97 64.04
18 19 81.90
18 21 72.46
18 29 93.20
18 44 61.03
18 50 31.54
18 56 73.31
18 62 99.22
18 69 21.66
18 74 84.60
18 75 83.23
18 84 41.89
18 85 21.74
18 90 50.06
18 93 11.71
19 26 30.33
19 38 65.26
19 44 26.65
19 45 95.41
19 47 78.53
19 50 86.80
19 56 85.43
19 58 97.67
19 62 93.25
19 67 83.47
19 69 73.59
19 74 56.98
19 75 59.63
19 78 99.80
19 83 98.00
19 85 88.20
19 87 83.99
19 90 66.21
19 93 73.61
20 35 69.35
20 36 48.37
20 39 37.15
20 57 21.59
20 72 93.81
20 88 66.52
20 91 86.26
20 92 71.11
20 96 76.09
20 98 73.10
21 50 74.93
21 69 87.85
21 84 38.70
21 85 75.69
21 93 80.24
22 38 68.35
22 45 40.82
22 46 35.92
22 58 59.58
22 61 32.83
22 67 87.39
22 70 90.74
22 87 53.26
23 24 62.43
23 25 39.51
23 27 88.08
23 37 41.53
23 42 2.00
23 63 94.13
23 71 60.25
23 73 34.56
23 76 52.46
24 25 98.55
24 41 96.33
24 42 62.83
24 71 10.75
24 73 43.43
25 37 2.42
25 42 38.22
25 59 75.06
25 63 76.24
25 71 98.22
25 73 59.81
25 76 19.03
25 95 88.87
26 38 39.73
26 44 52.42
26 45 70.84
26 46 81.62
26 47 50.10
26 58 92.56
26 67 53.14
26 70 93.11
26 74 77.26
26 75 80.61
26 87 58.28
26 90 94.78
27 28 71.79
27 30 55.60
27 33 77.58
27 42 90.01
27 43 82.15
27 63 97.28
27 80 38.06
27 82 52.41
27 94 36.22
28 30 36.58
28 31 68.57
28 33 29.88
28 43 10.56
28 59 95.29
28 63 72.14
28 80 33.77
28 82 87.79
28 89 61.75
28 94 66.47
29 50 61.79
29 52 52.49
29 62 38.52
29 74 66.97
29 75 63.31
29 90 55.77
29 93 84.85
30 31 95.51
30 33 62.35
30 43 45.41
30 80 30.68
30 82 52.79
30 89 84.18
30 94 34.28
31 32 78.88
31 33 76.14
31 43 58.41
31 79 96.15
31 81 99.21
31 89 15.77
32 35 73.42
32 49 39.35
32 56 71.86
32 78 43.00
32 81 23.43
32 83 45.93
32 88 79.74
32 89 77.27
32 96 79.82
33 43 29.60
33 59 65.42
33 63 42.42
33 80 44.20
33 89 75.40
33 94 85.31
34 52 73.46
34 58 55.79
34 62 83.68
34 74 95.73
34 75 96.16
35 36 41.51
35 39 58.58
35 49 82.86
35 56 92.18
35 57 88.31
35 78 94.28
35 81 71.67
35 83 90.21
35 88 37.03
35 96 49.70
36 39 19.46
36 57 69.93
36 88 65.63
36 96 79.40
36 98 70.31
37 42 40.20
37 59 75.14
37 63 77.10
37 71 99.90
37 73 60.78
37 76 16.82
37 95 86.70
38 44 90.57
38 45 31.11
38 46 42.02
38 47 51.48
38 58 71.23
38 61 76.83
38 67 35.69
38 70 68.31
38 74 91.64
38 75 95.34
38 87 18.83
39 57 57.44
39 88 75.72
39 96 88.80
39 98 54.06
40 48 94.64
40 54 54.08
40 60 9.39
40 72 91.60
40 77 97.31
40 79 84.98
40 86 92.50
40 99 45.96
41 71 90.45
42 63 94.52
42 71 60.98
42 73 33.56
42 76 50.76
43 59 93.44
43 63 71.60
43 80 44.09
43 82 97.49
43 89 52.57
43 94 76.59
44 47 93.92
44 49 85.64
44 50 74.12
44 56 61.00
44 69 48.82
44 74 68.79
44 75 70.29
44 78 81.94
44 83 78.51
44 84 99.85
44 85 63.42
44 90 62.30
44 93 55.23
45 46 11.44
45 47 70.03
45 58 68.03
45 61 45.87
45 67 47.10
