400	12419
0 4 100.85
0 15 28.15
0 16 85.69
0 27 54.05
0 28 102.06
0 30 68.62
0 33 119.81
0 41 114.71
0 43 112.14
0 70 118.33
0 80 75.66
0 82 17.69
0 94 35.59
0 100 63.45
0 104 99.09
0 105 110.12
0 107 59.55
0 114 51.55
0 116 54.03
0 117 124.05
0 120 82.79
0 129 108.93
0 130 67.40
0 132 32.32
0 133 41.26
0 134 109.94
0 138 78.75
0 140 85.20
0 142 58.23
0 150 101.77
0 154 98.03
0 161 60.95
0 162 48.23
0 164 72.87
0 172 74.32
0 177 44.54
0 183 116.66
0 190 115.40
0 192 69.41
0 195 20.13
0 198 91.62
0 204 92.11
0 207 116.55
0 213 120.69
0 221 87.00
0 225 104.87
0 227 113.50
0 232 58.44
0 242 84.75
0 243 48.81
0 249 77.15
0 252 122.87
0 260 87.30
0 267 86.26
0 271 113.04
0 274 119.30
0 276 91.67
0 277 88.20
0 280 124.84
0 291 99.72
0 292 80.90
0 296 35.81
0 304 38.73
0 305 80.81
0 307 71.44
0 316 59.97
0 318 114.57
0 325 91.47
0 338 18.17
0 339 109.60
0 341 64.80
0 346 98.82
0 349 112.77
0 351 67.03
0 352 67.06
0 354 94.36
0 375 59.37
0 377 36.37
0 380 65.61
0 385 51.88
0 386 121.66
0 387 101.97
0 391 109.99
0 393 66.54
1 6 94.90
1 14 38.95
1 20 113.29
1 39 118.74
1 57 106.26
1 65 32.44
1 91 121.23
1 92 95.12
1 98 78.66
1 103 108.67
1 131 29.82
1 135 107.10
1 137 116.34
1 141 38.44
1 145 93.45
1 193 82.04
1 197 107.83
1 201 40.40
1 205 63.35
1 212 56.07
1 257 85.37
1 269 60.00
1 270 27.80
1 285 68.14
1 294 23.00
1 301 95.96
1 302 55.57
1 312 64.72
1 326 35.21
1 344 65.32
1 350 67.52
1 353 69.03
1 355 120.69
1 358 79.42
1 359 113.94
1 360 118.72
1 372 98.21
1 389 114.03
1 390 66.89
1 397 120.66
1 398 65.92
2 20 90.38
2 31 119.91
2 32 50.31
2 35 23.23
2 36 64.27
2 39 81.78
2 49 64.64
2 56 80.95
2 57 107.87
2 69 122.32
2 72 107.81
2 78 75.28
2 81 51.15
2 83 72.46
2 85 118.51
2 88 40.54
2 89 122.47
2 96 48.53
2 103 111.38
2 106 118.59
2 125 90.64
2 136 63.00
2 147 93.89
2 149 116.33
2 155 85.32
2 159 86.96
2 165 86.56
2 166 65.68
2 167 79.62
2 182 56.62
2 191 28.05
2 193 117.03
2 203 108.53
2 211 110.61
2 222 88.16
2 223 114.90
2 224 40.57
2 228 31.17
2 233 68.86
2 253 77.64
2 275 73.08
2 278 58.37
2 288 119.41
2 289 48.72
2 290 115.92
2 300 57.00
2 301 114.67
2 303 71.57
2 310 82.46
2 317 106.79
2 319 124.58
2 333 73.68
2 334 80.34
2 342 69.70
2 347 90.99
2 355 79.29
2 357 68.98
2 359 95.98
2 363 80.81
2 364 75.05
2 366 81.21
2 369 105.03
2 370 67.28
2 373 112.23
2 378 104.22
2 392 123.86
3 11 94.77
3 40 58.90
3 54 40.51
3 60 62.70
3 66 60.27
3 77 44.31
3 97 110.48
3 99 90.60
3 101 115.74
3 123 108.04
3 124 115.38
3 127 27.80
3 144 92.24
3 151 46.75
3 178 56.53
3 180 67.28
3 181 106.42
3 187 17.33
3 188 42.08
3 199 105.20
3 200 116.08
3 217 79.58
3 218 10.55
3 226 99.06
3 246 92.94
3 254 123.80
3 256 88.52
3 258 118.49
3 259 106.95
3 261 91.51
3 263 72.29
3 268 12.67
3 273 43.08
3 279 89.52
3 283 24.10
3 287 101.31
3 293 107.98
3 297 68.69
3 314 120.22
3 315 20.98
3 320 62.56
3 322 39.39
3 327 48.76
3 340 117.62
3 361 2.25
3 371 119.94
3 383 112.36
3 384 112.35
