200 2147 
0 15 28.15
0 16 85.69
0 27 54.05
0 30 68.62
0 80 75.66
0 82 17.69
0 94 35.59
0 100 63.45
0 104 99.09
0 107 59.55
0 114 51.55
0 116 54.03
0 120 82.79
0 130 67.40
0 132 32.32
0 133 41.26
0 138 78.75
0 140 85.20
0 142 58.23
0 154 98.03
0 161 60.95
0 162 48.23
0 164 72.87
0 172 74.32
0 177 44.54
0 192 69.41
0 195 20.13
0 198 91.62
1 6 94.90
1 14 38.95
1 65 32.44
1 92 95.12
1 98 78.66
1 131 29.82
1 141 38.44
1 145 93.45
1 193 82.04
2 20 90.38
2 32 50.31
2 35 23.23
2 36 64.27
2 39 81.78
2 49 64.64
2 56 80.95
2 78 75.28
2 81 51.15
2 83 72.46
2 88 40.54
2 96 48.53
2 125 90.64
2 136 63.00
2 147 93.89
2 155 85.32
2 159 86.96
2 165 86.56
2 166 65.68
2 167 79.62
2 182 56.62
2 191 28.05
3 11 94.77
3 40 58.90
3 54 40.51
3 60 62.70
3 66 60.27
3 77 44.31
3 99 90.60
3 127 27.80
3 144 92.24
3 151 46.75
3 178 56.53
3 180 67.28
3 187 17.33
3 188 42.08
4 10 43.44
4 15 85.46
4 27 93.31
4 28 42.49
4 30 38.08
4 31 67.84
4 33 71.67
4 43 42.97
4 80 62.10
4 82 83.42
4 89 53.54
4 94 70.10
4 104 43.45
4 107 96.34
4 114 68.13
4 117 64.81
4 120 64.47
4 132 74.34
4 133 86.02
4 134 9.13
4 138 71.94
4 139 86.94
4 142 44.20
4 150 18.37
4 157 64.17
4 161 98.73
4 167 83.37
4 177 56.41
4 183 77.18
4 186 92.87
5 7 47.82
5 9 74.80
5 11 90.43
5 13 70.96
5 17 56.71
5 51 37.22
5 53 48.72
5 64 81.10
5 68 53.39
5 95 53.60
5 101 83.26
5 102 56.75
5 146 52.27
5 156 38.90
5 160 86.39
5 181 78.91
6 14 85.11
6 20 95.11
6 48 84.23
6 57 74.18
6 65 97.88
6 86 87.12
6 91 32.83
6 92 24.50
6 109 54.18
6 111 68.01
6 135 30.00
6 145 8.41
7 9 75.66
7 13 59.14
7 17 90.41
7 25 96.34
7 37 94.29
7 51 15.60
7 53 16.67
7 59 86.79
7 68 39.09
7 76 86.57
7 95 11.56
7 101 86.48
7 102 98.05
7 119 97.63
7 146 39.49
7 156 64.58
7 160 40.60
7 170 68.36
7 174 68.25
7 196 83.80
8 12 61.88
8 22 3.40
8 38 68.62
8 45 42.05
8 46 37.95
8 58 56.54
8 61 36.22
8 67 88.92
8 70 93.43
8 87 54.17
8 108 32.08
8 121 42.97
8 152 99.32
8 163 80.30
8 169 96.83
8 184 84.25
8 185 33.36
8 190 94.28
9 11 45.38
9 13 21.57
9 17 55.07
9 51 62.75
9 53 59.50
9 54 88.45
9 55 86.59
9 64 85.38
9 68 36.82
9 95 87.19
9 101 10.85
9 102 73.90
9 110 92.72
9 112 93.35
9 123 78.57
9 146 36.24
9 156 41.98
9 170 78.85
9 180 76.42
9 181 43.83
10 28 43.10
10 30 68.38
10 31 27.15
10 32 95.66
10 33 57.61
10 43 33.77
10 63 94.41
10 80 76.55
10 89 18.79
10 104 82.90
10 117 46.08
10 134 36.33
10 139 44.81
10 142 84.91
10 150 35.26
10 157 37.69
10 165 65.42
10 167 69.03
10 177 94.52
10 179 68.42
10 183 66.27
10 189 87.37
11 13 66.51
11 17 39.85
11 51 95.91
11 53 97.05
11 54 65.05
11 64 54.10
11 66 85.49
11 68 76.37
11 77 70.19
11 97 65.87
11 101 38.37
11 102 56.31
11 123 94.63
11 124 80.81
11 146 75.23
11 151 95.41
11 156 52.01
11 180 33.14
11 181 12.33
11 187 77.64
11 199 81.91
12 19 97.30
12 22 59.97
12 26 68.81
12 38 33.84
12 45 22.57
12 46 24.08
12 47 52.84
12 58 89.50
12 61 53.32
12 67 28.87
12 70 39.01
12 87 19.79
12 108 43.21
12 120 95.89
12 121 90.32
12 126 97.68
12 130 89.49
12 138 92.15
12 153 91.35
12 161 95.93
12 163 18.85
12 169 85.65
12 171 90.65
12 185 44.03
12 190 53.26
13 17 68.56
13 51 48.79
13 53 42.46
13 55 84.91
13 59 85.08
13 68 20.97
13 95 70.30
13 101 31.43
13 102 85.68
13 110 93.46
13 112 93.73
13 123 84.42
13 146 21.22
13 156 48.18
13 160 87.81
13 170 58.72
13 174 82.89
13 180 97.98
13 181 63.46
13 189 97.88
14 65 14.98
14 92 95.31
14 131 67.51
14 141 77.35
14 145 87.22
15 27 71.10
15 28 98.13
15 30 61.65
15 70 93.11
15 80 79.71
15 82 18.78
15 94 39.05
15 100 91.60
15 104 74.48
15 107 76.96
15 114 24.68
15 116 32.43
15 120 55.32
15 130 42.14
15 132 38.65
15 133 56.46
15 134 94.49
15 138 50.74
15 142 41.39
15 150 91.15
15 154 97.53
15 161 35.95
15 162 75.91
15 164 98.04
15 172 79.74
15 177 32.62
15 190 93.72
15 192 71.22
15 195 23.38
16 23 52.78
16 24 63.08
16 25 88.02
16 27 48.73
16 37 90.38
16 42 54.72
16 71 53.41
16 73 71.38
16 80 81.09
16 82 92.38
16 94 82.75
16 100 46.75
16 105 33.42
16 107 44.85
16 119 84.58
16 129 56.35
16 132 79.81
16 133 60.50
16 140 96.85
16 162 62.11
16 164 12.90
16 176 46.50
16 196 98.49
16 198 17.44
17 51 74.95
17 53 80.72
17 64 33.27
17 68 66.69
17 77 99.95
17 97 64.04
17 101 56.09
17 102 19.37
17 124 78.83
17 146 65.16
17 156 26.31
17 180 65.30
17 181 27.59
17 199 85.87
18 19 81.90
18 21 72.46
18 29 93.20
18 44 61.03
18 50 31.54
18 56 73.31
18 62 99.22
18 69 21.66
18 74 84.60
18 75 83.23
18 84 41.89
18 85 21.74
18 90 50.06
18 93 11.71
18 113 80.86
18 125 68.69
18 143 38.06
18 147 54.81
18 149 83.55
18 155 76.45
18 159 66.88
18 168 99.04
18 171 89.09
18 173 71.30
18 175 90.88
19 26 30.33
19 38 65.26
19 44 26.65
19 45 95.41
19 47 78.53
