50 122
0 21 55.62
0 33 59.63
0 35 12.87
0 40 71.63
0 42 64.59
1 13 95.86
1 17 96.19
1 26 35.92
1 33 81.32
1 42 73.80
1 44 98.65
1 46 41.72
2 16 96.16
2 19 36.10
2 25 56.19
2 28 16.72
2 31 23.02
3 37 73.18
3 41 88.90
3 43 65.46
4 24 81.91
4 48 25.75
4 49 57.37
5 9 20.09
5 10 97.30
5 11 57.89
5 29 44.07
5 32 11.42
6 11 66.76
6 18 99.75
6 29 87.99
6 34 70.16
6 45 49.86
7 15 95.48
8 9 94.66
8 10 98.82
8 16 62.82
8 20 5.09
8 32 98.01
8 36 27.76
9 10 77.29
9 11 59.99
9 17 91.69
9 20 99.68
9 29 29.00
9 32 8.73
9 45 96.70
10 17 19.76
10 19 88.41
10 29 67.08
10 32 86.02
10 45 85.42
11 29 48.14
11 32 57.48
11 45 78.10
12 14 36.84
12 23 52.56
12 30 47.55
12 34 77.15
13 26 94.40
13 27 29.91
13 33 97.74
13 44 59.85
13 46 57.60
13 47 50.36
14 18 68.79
14 23 89.32
14 30 83.37
14 34 57.09
15 22 94.86
15 39 45.73
15 41 95.75
16 19 77.55
16 20 60.54
16 28 85.79
16 31 74.76
16 36 48.83
17 19 88.90
17 29 76.21
17 45 77.20
18 34 41.23
18 37 74.72
19 25 91.73
19 28 19.39
19 31 34.84
20 36 22.84
21 35 68.49
21 40 87.66
21 49 89.15
22 38 87.12
22 39 65.74
23 30 12.30
24 48 58.60
24 49 35.24
25 28 72.50
25 31 63.96
25 40 97.33
26 33 46.46
26 35 91.22
26 42 37.99
26 46 38.54
27 39 95.55
27 43 94.12
27 44 59.33
27 46 86.54
27 47 46.90
28 31 22.44
29 32 34.40
29 45 67.71
33 35 51.10
33 42 19.83
33 46 62.09
35 40 73.67
35 42 53.31
37 43 86.38
38 47 77.02
39 47 99.59
42 46 65.60
43 44 64.84
44 46 81.24
46 47 98.71
48 49 42.05
