200 2069
0 21 55.62
0 33 59.63
0 35 12.87
0 40 71.63
0 42 64.59
0 57 80.94
0 82 19.33
0 88 87.00
0 89 91.68
0 91 69.17
0 93 74.73
0 95 93.72
0 102 40.90
0 119 58.41
0 121 87.52
0 122 59.08
0 125 96.16
0 130 83.34
0 132 91.66
0 139 91.49
0 166 99.47
0 169 84.57
0 171 42.70
0 176 99.42
0 177 26.50
0 179 98.79
0 187 85.72
0 191 77.01
0 194 98.28
1 13 95.86
1 17 96.19
1 26 35.92
1 33 81.32
1 42 73.80
1 44 98.65
1 46 41.72
1 75 70.18
1 78 89.82
1 81 81.87
1 98 55.62
1 100 77.16
1 111 97.28
1 114 81.21
1 115 58.87
1 122 91.61
1 125 72.70
1 131 12.13
1 139 53.45
1 147 58.04
1 164 66.97
1 187 91.00
1 191 70.82
1 197 95.83
2 16 96.16
2 19 36.10
2 25 56.19
2 28 16.72
2 31 23.02
2 58 99.39
2 70 51.14
2 81 77.23
2 85 15.25
2 88 81.51
2 96 43.83
2 99 10.67
2 101 36.57
2 111 70.76
2 113 31.94
2 130 65.10
2 140 78.46
2 150 70.48
2 157 60.32
2 158 20.70
2 164 93.26
2 166 45.15
2 167 50.98
2 187 79.96
2 197 91.50
3 37 73.18
3 41 88.90
3 43 65.46
3 52 40.01
3 56 66.89
3 62 35.21
3 65 26.75
3 71 83.27
3 74 57.84
3 97 39.54
3 107 71.14
3 124 75.34
3 128 45.14
3 137 84.00
3 159 67.48
3 162 23.24
3 168 28.10
3 172 60.08
3 175 42.99
3 188 85.07
3 192 66.00
4 24 81.91
4 48 25.75
4 49 57.37
4 50 73.93
4 53 86.63
4 60 73.30
4 83 47.77
4 92 70.39
4 95 74.41
4 121 79.74
4 132 94.14
4 135 5.31
4 138 80.71
4 141 54.49
4 148 95.16
4 154 53.98
4 155 52.96
4 179 94.43
4 184 54.16
4 194 91.14
5 9 20.09
5 10 97.30
5 11 57.89
5 29 44.07
5 32 11.42
5 61 96.12
5 76 99.73
5 79 25.69
5 105 54.00
5 116 65.68
5 133 90.99
5 163 87.76
5 165 98.00
5 189 28.38
6 11 66.76
6 18 99.75
6 29 87.99
6 34 70.16
6 45 49.86
6 54 36.41
6 55 83.29
6 76 68.78
6 80 44.17
6 87 93.58
6 100 67.24
6 105 95.12
6 114 74.94
6 115 83.82
6 116 65.69
6 133 37.52
6 147 84.95
6 149 58.65
6 156 86.59
6 163 86.11
6 165 57.83
6 170 38.30
6 189 97.77
6 196 69.92
7 15 95.48
7 64 98.76
7 69 66.29
7 84 41.36
7 94 64.92
7 106 92.59
7 110 27.62
7 112 35.69
7 118 72.26
7 126 82.08
7 129 58.61
7 134 59.89
7 146 89.98
7 151 67.18
7 160 51.73
7 178 57.92
7 195 27.20
7 198 82.93
7 199 29.10
8 9 94.66
8 10 98.82
8 16 62.82
8 20 5.09
8 32 98.01
8 36 27.76
8 58 49.31
8 61 65.88
8 79 87.41
8 90 29.16
8 108 30.52
8 185 85.92
9 10 77.29
9 11 59.99
9 17 91.69
9 20 99.68
9 29 29.00
9 32 8.73
9 45 96.70
9 61 78.41
9 79 7.91
9 105 35.34
9 116 69.64
9 133 90.31
9 163 69.58
9 165 83.49
9 189 38.50
10 17 19.76
10 19 88.41
10 29 67.08
10 32 86.02
10 45 85.42
10 58 79.92
10 61 34.80
10 79 72.10
10 81 92.16
10 98 61.50
10 101 88.59
10 105 51.29
10 108 99.11
10 111 66.04
10 114 68.83
10 163 43.77
10 164 80.43
10 165 73.21
10 197 41.10
11 29 48.14
11 32 57.48
11 45 78.10
11 54 87.01
11 55 93.03
11 76 47.65
11 79 67.40
11 87 94.58
11 105 63.28
11 114 96.36
11 116 10.63
11 133 33.56
11 149 98.70
11 163 81.15
11 165 71.84
11 170 49.06
11 189 32.04
12 14 36.84
12 23 52.56
12 30 47.55
12 34 77.15
12 55 74.05
12 66 66.77
12 73 44.72
12 87 80.64
12 149 69.88
12 156 54.16
12 174 31.60
12 180 40.58
12 196 84.26
13 26 94.40
13 27 29.91
13 33 97.74
13 44 59.85
13 46 57.60
13 47 50.36
13 75 27.74
13 78 74.17
13 125 55.38
13 127 97.86
13 131 89.06
13 136 61.77
13 139 76.60
13 144 96.54
13 152 82.68
13 153 74.45
13 161 63.84
13 169 92.02
13 183 69.19
13 190 19.23
13 193 34.44
14 18 68.79
14 23 89.32
14 30 83.37
14 34 57.09
14 51 88.14
14 55 93.63
14 73 78.98
14 120 92.10
14 145 63.95
14 149 71.35
14 156 35.91
14 173 92.46
14 174 66.84
14 180 75.28
14 196 62.14
15 22 94.86
15 39 45.73
15 41 95.75
15 52 98.18
15 56 51.61
15 67 94.32
15 68 50.70
15 71 79.37
15 77 89.84
15 84 70.84
15 106 61.74
15 110 82.27
15 112 59.84
15 117 67.75
15 118 64.06
15 126 24.31
15 127 62.18
15 129 57.37
15 134 45.14
15 146 25.10
15 151 99.92
15 153 93.02
15 160 51.42
15 195 73.18
15 198 22.23
15 199 99.03
16 19 77.55
16 20 60.54
16 28 85.79
16 31 74.76
16 36 48.83
16 58 30.43
16 61 77.31
16 70 97.45
16 90 33.88
16 99 85.65
16 101 90.73
16 108 32.30
16 109 69.78
16 113 65.40
16 150 72.24
16 167 82.57
16 182 51.70
16 185 58.79
17 19 88.90
17 29 76.21
17 45 77.20
17 58 94.86
17 61 52.75
17 79 87.52
17 81 78.87
17 98 42.10
17 101 86.08
17 105 60.96
17 111 57.21
17 114 56.60
17 115 92.39
17 147 93.39
17 163 40.98
17 164 64.68
17 165 67.16
17 197 32.13
18 34 41.23
18 37 74.72
18 51 87.62
18 80 75.54
18 104 79.06
18 120 27.24
18 144 85.52
18 145 39.47
18 149 83.00
18 156 52.78
18 172 90.68
18 173 24.21
18 188 69.06
18 196 35.60
19 25 91.73
19 28 19.39
19 31 34.84
19 58 71.11
19 61 79.64
19 70 77.79
19 81 64.80
19 85 51.21
19 90 99.45
19 96 79.22
19 99 28.69
19 101 13.42
19 108 96.48
19 111 44.92
19 113 21.60
19 130 90.86
19 150 83.34
19 157 96.38
19 158 33.29
19 164 74.81
19 166 69.82
19 167 71.14
19 187 80.63
19 197 59.70
20 36 22.84
20 58 49.55
20 61 69.59
20 79 92.45
20 90 26.66
20 108 28.44
20 185 81.10
21 35 68.49
21 40 87.66
21 49 89.15
21 57 27.03
21 60 97.05
21 82 39.76
21 89 48.66
21 91 66.97
21 93 68.32
21 95 52.36
21 102 73.03
21 119 53.17
21 121 40.85
21 132 36.24
21 141 71.95
21 154 67.30
21 169 89.52
21 171 86.99
21 176 52.53
21 177 69.84
21 179 78.59
21 194 75.82
22 38 87.12
22 39 65.74
22 59 8.44
22 63 83.03
22 64 55.43
22 67 11.31
22 68 73.64
22 72 96.15
22 77 39.10
22 94 78.15
22 106 37.24
22 110 96.23
22 117 64.19
22 118 52.79
22 123 64.55
22 127 90.38
22 134 76.29
22 142 53.30
22 143 74.16
22 146 70.41
22 148 94.34
22 151 68.30
22 153 88.88
22 178 89.68
22 181 85.55
22 186 41.65
22 195 98.47
22 198 76.71
23 30 12.30
23 55 69.75
23 66 35.58
23 73 29.49
23 87 66.80
23 149 92.97
23 156 98.12
23 174 25.23
23 180 28.23
24 48 58.60
24 49 35.24
24 57 90.43
24 60 19.39
24 86 37.01
24 89 92.32
24 103 54.86
24 121 99.93
24 132 79.54
24 135 78.83
24 141 56.85
24 154 65.79
24 155 83.38
24 176 82.16
24 184 74.93
25 28 72.50
25 31 63.96
25 40 97.33
25 70 38.59
25 85 40.99
25 88 63.86
25 96 27.15
25 99 63.26
25 101 92.53
25 113 80.74
25 130 67.91
25 140 29.28
25 150 73.12
25 157 10.63
25 158 70.74
25 166 62.21
25 167 52.76
26 33 46.46
26 35 91.22
26 42 37.99
26 46 38.54
26 75 66.71
26 81 68.17
26 98 78.32
26 102 83.96
26 111 93.18
26 115 94.72
26 122 58.55
26 125 51.77
26 131 44.65
26 139 25.24
26 147 93.92
26 164 61.19
26 171 66.45
26 177 83.02
26 187 65.81
26 191 39.58
27 39 95.55
27 43 94.12
27 44 59.33
27 46 86.54
27 47 46.90
27 68 85.30
27 75 57.34
27 77 97.84
27 78 78.46
27 107 85.01
27 117 79.28
27 125 84.33
27 127 68.32
27 136 49.79
27 144 95.48
27 152 91.92
27 153 48.60
27 159 97.52
27 161 38.84
27 183 61.56
27 190 30.91
27 193 12.66
28 31 22.44
28 58 85.29
28 61 98.67
28 70 62.01
28 81 69.87
28 85 31.83
28 88 95.42
28 96 60.20
28 99 10.60
28 101 22.13
28 111 57.74
28 113 20.57
28 130 76.30
28 140 95.17
28 150 74.14
28 157 77.00
28 158 20.89
28 164 83.67
28 166 55.35
28 167 58.06
28 187 78.68
28 197 76.51
29 32 34.40
29 45 67.71
29 54 88.46
29 61 81.06
29 76 95.45
29 79 32.06
29 98 99.30
29 105 15.79
29 114 73.31
29 116 58.76
29 133 71.11
29 163 44.91
29 165 54.65
29 170 89.20
29 189 44.44
30 55 57.85
30 66 47.10
30 73 36.88
30 87 55.84
30 149 80.96
30 156 88.48
30 174 16.62
30 180 34.36
31 58 82.10
31 70 43.23
31 81 92.30
31 85 30.29
31 96 60.57
31 99 14.56
31 101 43.01
31 111 78.46
31 113 17.31
31 130 87.65
31 140 90.76
31 150 51.70
31 157 71.10
31 158 40.18
31 166 68.08
31 167 36.56
31 182 87.70
31 187 99.91
31 197 94.52
32 61 86.32
32 79 15.24
32 105 42.98
32 116 66.46
32 133 89.28
32 163 77.00
32 165 88.97
32 189 32.37
33 35 51.10
33 42 19.83
33 46 62.09
33 75 75.26
33 81 88.66
33 82 78.46
33 93 82.64
33 102 37.90
33 119 76.36
33 122 43.85
33 125 42.36
33 131 87.88
33 139 31.86
33 152 94.94
33 164 91.49
33 169 75.12
33 171 20.04
33 177 37.21
33 187 69.54
33 190 98.54
33 191 42.88
34 54 88.62
34 55 82.50
34 80 65.29
34 87 95.95
34 120 67.54
34 133 95.15
34 145 70.61
34 149 41.77
34 156 23.29
34 170 81.99
34 173 61.43
34 174 93.05
34 196 7.83
35 40 73.67
35 42 53.31
35 57 93.70
35 82 31.25
35 88 83.23
35 91 75.76
35 93 81.68
35 102 41.27
35 119 66.52
35 121 99.62
35 122 46.21
35 125 90.40
35 130 75.94
35 139 82.63
35 166 90.43
35 169 88.47
35 171 37.04
35 177 24.81
35 187 73.08
35 191 64.38
36 58 50.59
36 61 83.91
36 90 20.83
36 108 23.91
36 109 86.90
36 182 80.33
36 185 58.31
37 43 86.38
37 51 40.15
37 52 91.07
37 62 77.08
37 65 86.33
37 97 66.15
37 107 95.72
37 120 60.38
37 124 65.47
37 137 54.69
37 145 44.21
37 159 82.15
37 162 80.33
37 168 75.87
37 172 16.42
37 173 70.78
37 175 42.35
37 188 67.58
38 47 77.02
38 50 72.79
38 53 30.50
38 59 82.87
38 63 4.19
38 67 79.09
38 72 15.42
38 77 72.41
38 83 71.30
38 92 47.81
38 93 92.37
38 117 99.26
38 123 73.62
38 138 56.40
38 142 33.84
38 143 14.42
38 148 36.31
38 152 64.58
38 153 94.92
38 169 86.37
38 179 72.61
38 181 12.89
38 186 51.74
38 194 75.08
39 47 99.59
39 56 69.83
39 59 73.61
39 67 60.51
39 68 10.89
39 77 46.97
39 106 48.86
39 112 91.01
39 117 22.33
39 118 65.22
39 126 69.80
39 127 30.46
39 134 64.93
39 142 92.38
39 146 35.28
39 153 51.38
39 160 91.91
39 161 86.25
39 186 69.15
39 193 98.66
39 195 98.18
39 198 43.44
40 57 96.32
40 82 63.35
40 88 37.72
40 89 83.10
40 91 27.32
40 96 81.80
40 122 96.27
40 130 57.65
40 140 74.37
40 157 86.88
40 166 78.33
40 176 93.22
40 177 97.21
41 56 89.18
41 65 68.62
41 71 16.76
41 74 36.34
41 84 84.29
41 97 91.77
41 126 76.13
41 128 46.20
41 129 70.31
41 160 82.59
41 162 74.63
41 168 79.09
41 192 65.65
42 46 65.60
42 75 85.32
42 81 68.88
42 82 83.91
42 102 54.30
42 111 99.57
42 119 93.20
42 122 27.88
42 125 55.95
42 130 93.35
42 131 82.53
42 139 35.74
42 164 72.63
42 166 96.80
42 169 94.80
42 171 34.89
42 177 48.43
42 187 50.38
42 191 23.06
43 44 64.84
43 52 34.52
43 56 75.54
43 62 30.65
43 65 92.04
43 78 72.52
43 97 99.29
43 104 75.56
43 107 9.34
43 120 81.47
43 127 97.15
43 136 50.78
43 144 59.11
43 159 6.71
43 161 58.00
43 162 88.66
43 168 92.53
43 172 85.24
43 173 86.12
43 175 88.50
43 183 48.93
43 188 39.96
43 193 82.29
44 46 81.24
44 52 95.00
44 62 95.06
44 75 67.48
44 78 20.30
44 104 48.40
44 107 59.39
44 115 97.90
44 131 87.13
44 136 22.91
44 144 37.19
44 147 96.45
44 159 64.03
44 161 51.96
44 173 99.21
44 183 16.12
44 188 69.92
44 190 76.96
44 193 47.99
45 54 25.13
45 79 98.95
45 80 55.52
45 98 65.79
45 100 44.03
45 105 66.26
45 114 25.25
45 115 51.40
45 116 83.76
45 131 98.80
45 133 68.18
45 147 52.90
45 163 42.86
45 165 14.31
45 170 79.81
45 189 99.26
46 47 98.71
46 75 30.15
46 78 81.37
46 98 97.25
46 102 91.38
46 115 89.80
46 122 91.77
46 125 35.08
46 131 39.42
46 136 97.30
46 139 30.74
46 147 88.55
46 164 96.69
46 171 79.58
46 177 97.27
46 183 96.86
46 190 70.09
46 191 75.88
46 193 87.05
47 53 95.07
47 63 78.02
47 68 92.41
47 72 90.47
47 75 70.38
47 77 78.94
47 93 91.54
47 117 77.76
47 125 78.66
47 127 83.30
47 136 96.66
47 142 85.08
47 143 83.92
47 152 48.43
47 153 50.14
47 161 81.90
47 169 69.98
47 179 94.08
47 181 89.70
47 186 77.73
47 190 31.47
47 193 59.56
47 194 98.29
48 49 42.05
48 50 97.59
48 60 53.86
48 83 73.43
48 86 80.78
48 92 96.14
48 95 85.47
48 103 83.84
48 121 86.88
48 132 90.57
48 135 21.43
48 141 49.36
48 154 53.11
48 155 42.21
48 184 39.03
49 57 67.39
49 60 18.54
49 83 99.94
49 86 71.00
49 89 79.85
49 95 71.77
49 103 85.05
49 121 66.44
49 132 54.62
49 135 56.16
49 141 22.01
49 154 30.82
49 155 80.80
49 176 70.60
49 184 74.85
50 53 59.66
50 63 72.69
50 72 58.84
50 83 33.95
50 92 35.06
50 123 65.21
50 135 76.81
50 138 16.45
50 142 84.23
50 143 70.54
50 148 37.44
50 155 98.99
50 181 60.89
51 97 83.61
51 120 85.24
51 124 62.54
51 137 44.01
51 145 48.18
51 168 98.09
51 172 46.03
51 173 94.28
51 175 64.19
52 56 46.65
52 62 14.19
52 65 63.97
52 71 98.95
52 74 87.76
52 97 79.05
52 107 36.28
52 127 87.57
52 128 75.51
52 136 76.38
52 144 93.63
52 159 39.61
52 161 69.80
52 162 62.10
52 168 67.96
52 172 83.62
52 175 76.38
52 183 78.93
52 188 69.08
52 193 98.84
53 63 33.82
53 72 18.91
53 83 45.81
53 92 25.78
53 93 77.87
53 95 78.13
53 119 93.16
53 121 91.81
53 123 87.08
53 135 91.73
53 138 45.89
53 142 62.24
53 143 41.05
53 148 34.98
53 152 65.86
53 169 79.71
53 179 52.88
53 181 29.57
53 186 82.01
53 194 53.98
54 80 30.55
54 98 82.47
54 100 32.52
54 104 92.00
54 105 89.47
54 114 45.17
54 115 47.74
54 116 89.92
54 133 67.14
54 147 48.95
54 149 90.86
54 163 67.99
54 165 38.97
54 170 73.35
54 196 85.25
55 73 91.90
55 76 47.30
55 87 13.53
55 116 83.08
55 133 70.16
55 149 41.74
55 156 74.82
55 170 53.24
55 174 56.03
55 180 88.32
55 196 89.40
56 62 60.24
56 65 77.37
56 68 65.71
56 71 73.78
56 74 83.16
56 107 72.58
56 117 83.46
56 126 60.22
56 127 60.67
56 128 75.02
56 129 91.30
56 134 96.73
56 136 98.66
56 146 72.94
56 153 92.88
56 159 81.90
56 160 91.97
56 161 77.35
56 162 79.27
56 168 87.34
56 198 73.02
57 60 72.36
57 82 63.21
57 89 29.50
57 91 70.95
